,Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename,Latitude,Longtitude,Typenum,Dong,Challenge,Totalscore
321,일번지포장마차,3.9,8,42,https://place.map.kakao.com/15291549,서울 노원구 화랑로 337-4,월계동 36-5,실내포장마차,37.6157572,127.0651911,0,B,0,37.44
325,기와집,4.1,7,5,https://place.map.kakao.com/8690963,서울 노원구 석계로 35,월계동 73-2,한식,37.6178927,127.0637212,0,B,0,37.31
317,스타벅스 광운대점,3.6,9,3,https://place.map.kakao.com/17884753,서울 노원구 석계로 104,월계동 410-1,커피전문점,37.6231479,127.0607009,4,B,0,35.64
330,삼대냉면,3.9,7,16,https://place.map.kakao.com/16380812,서울 노원구 석계로9길 33 1층,월계동 435-11,냉면,37.6166694,127.0626265,0,B,0,32.76
366,꿈의김밥,4.0,6,1,https://place.map.kakao.com/866759727,서울 노원구 석계로3길 41 1층,월계동 485-5,분식,37.616447,127.0625319,0,B,0,31.2
447,와플대학 광운대캠퍼스,4.0,6,9,https://place.map.kakao.com/22577995,서울 노원구 광운로 64 1층,월계동 383-4,"제과,베이커리",37.6227985,127.0601672,4,B,0,31.2
414,배스킨라빈스 광운대역점,5.0,4,1,https://place.map.kakao.com/14855950,서울 노원구 광운로 65,월계동 383-25,아이스크림,37.6231314,127.0599841,0,B,0,30.0
450,피자헤븐 월계점,5.0,4,33,https://place.map.kakao.com/23585237,서울 노원구 광운로 33 2층,월계동 402-19,피자,37.6205277,127.0585612,3,B,0,30.0
324,슬슬커피,4.8,4,13,https://place.map.kakao.com/1682165592,서울 노원구 석계로11길 35 1층,월계동 484,커피전문점,37.6168277,127.0630436,4,B,0,28.8
384,청계천8가삼성곱창,4.8,4,4,https://place.map.kakao.com/374001076,서울 노원구 석계로3길 32,월계동 68-27,"곱창,막창",37.6163191,127.0630987,0,B,0,28.8
319,육장군,4.4,5,32,https://place.map.kakao.com/27576442,서울 노원구 화랑로 337-15,월계동 62-10,"육류,고기",37.6155497,127.0650407,0,B,0,28.6
409,인정각,4.4,5,11,https://place.map.kakao.com/1816241497,서울 노원구 석계로3길 18 2층,월계동 55-2,중화요리,37.6159588,127.0637942,1,B,0,28.6
437,스트릿츄러스 광운대점,4.4,5,1,https://place.map.kakao.com/2086560602,서울 노원구 광운로 21 동해문화예술회관 1층,월계동 466,카페,37.619745,127.0575777,4,B,0,28.6
339,육수당 석계역점,3.6,7,18,https://place.map.kakao.com/1892516181,서울 노원구 화랑로 343 1층 102호,월계동 38-6,국밥,37.6152321,127.0660166,0,B,0,27.72
309,라무야끼,3.8,6,51,https://place.map.kakao.com/1867396584,서울 노원구 석계로3길 15-1,월계동 55-10,"육류,고기",37.615677,127.0637105,0,B,0,27.36
342,후아나 석계점,4.2,5,4,https://place.map.kakao.com/1671540851,서울 노원구 석계로1길 18 301호,월계동 56,디저트카페,37.6155031,127.0637115,4,B,0,27.3
397,맘스터치 월계역점,4.2,5,4,https://place.map.kakao.com/1286697365,서울 노원구 초안산로2라길 26 1층 107호,월계동 951,패스트푸드,37.6277451,127.0568215,3,B,0,27.3
