,Name,Score,Numberofscore,Review,Link,Addr,Typename,lat,lng,Typenum
84,조마루 상계역점,3.0,2,7,https://place.map.kakao.com/27300727,서울 노원구 덕릉로 705,감자탕,37.6606306,127.0752802,0
85,고피자 중계학원가점,4.0,6,6,https://place.map.kakao.com/441150220,서울 노원구 한글비석로 250 그린코아빌딩 115호,피자,37.6499986,127.0770408,3
86,청년다방 상계역점,4.8,4,9,https://place.map.kakao.com/1287008852,서울 노원구 덕릉로83길 26 102호,떡볶이,37.6602831,127.074048,0
87,설빙 상계역점,5.0,3,3,https://place.map.kakao.com/567336801,서울 노원구 덕릉로87길 21 2층,디저트카페,37.660763,127.074466,4
88,매일파스타,3.5,8,13,https://place.map.kakao.com/222388232,"서울 노원구 동일로203가길 29 브라운스톤상가 2층 226, 227호",양식,37.6393876,127.0642707,3
89,사이공본가 상계점,4.0,5,6,https://place.map.kakao.com/199879654,서울 노원구 덕릉로 699 1층105호,베트남음식,37.660074,127.0751965,5
90,보노돈까스,4.9,8,8,https://place.map.kakao.com/21131937,서울 노원구 중계로8길 128,"돈까스,우동",37.6482326,127.0833879,0
91,그남자의덮밥 중계점,4.0,5,61,https://place.map.kakao.com/2061208553,서울 노원구 동일로203가길 29 중계브라운스톤 156호,퓨전한식,37.6400147,127.0642892,0
92,송정낙지,1.0,1,10,https://place.map.kakao.com/1163481691,서울 노원구 덕릉로83길 16,"해물,생선",37.6600636,127.0745517,0
93,교촌치킨 중계역점,2.7,7,1,https://place.map.kakao.com/16820460,서울 노원구 동일로 1279,치킨,37.6420655,127.0640457,0
94,이자카야심,3.0,1,15,https://place.map.kakao.com/1483918776,서울 노원구 덕릉로83길 20-10,일본식주점,37.6604324,127.0745891,2
95,국물명가전주콩나물국밥 상계역점,3.5,4,4,https://place.map.kakao.com/1315294173,서울 노원구 한글비석로 367,국밥,37.6582803,127.0740763,0
96,인생극장 상계역점,0.0,0,5,https://place.map.kakao.com/480154023,서울 노원구 한글비석로20길 39,갈비,37.66092039999999,127.0740922,0
97,뚜레쥬르 상계점,2.3,3,0,https://place.map.kakao.com/1603868737,서울 노원구 덕릉로 669,"제과,베이커리",37.6573431,127.0746365,4
98,푸라닭치킨 상계역점,4.4,28,0,https://place.map.kakao.com/1865160358,서울 노원구 덕릉로83길 20-7 1층,치킨,37.6604727,127.0743347,0
99,채선당 중계점,3.0,1,2,https://place.map.kakao.com/8093485,서울 노원구 덕릉로 692 2층,샤브샤브,37.6593614,127.0756621,0
100,국빈,4.5,2,3,https://place.map.kakao.com/11558079,서울 노원구 중계로16가길 29,중화요리,37.6504177,127.0825836,1
101,동대문엽기떡볶이 중계점,4.5,4,9,https://place.map.kakao.com/26983981,서울 노원구 덕릉로 686 1층,떡볶이,37.6587655,127.0753929,0
102,평창메밀막국수,3.3,4,3,https://place.map.kakao.com/17360930,서울 노원구 한글비석로20길 15-11,국수,37.66026919999999,127.0735427,0
103,포&시드니 중계브라운스톤점,3.6,5,12,https://place.map.kakao.com/27323374,서울 노원구 동일로203가길 29 중계브라운스톤아파트 상가 1층 110호,동남아음식,37.6400147,127.0642892,5
104,양꼬치가,3.0,2,16,https://place.map.kakao.com/1575054414,서울 노원구 한글비석로20길 30,중화요리,37.6604154,127.0741541,1
105,본죽 중계은행사거리점,5.0,2,2,https://place.map.kakao.com/16617383,서울 노원구 한글비석로 245 두타빌A동 110호,죽,37.65006109999999,127.0762802,0
106,만선수산,0.0,0,3,https://place.map.kakao.com/15668564,서울 노원구 한글비석로 366,회,37.658358,127.0747916,0
107,명륜진사갈비 상계역점,2.6,5,6,https://place.map.kakao.com/1521072166,서울 노원구 덕릉로87길 21,갈비,37.660763,127.074466,0
108,코코로돈까스,4.0,25,24,https://place.map.kakao.com/17550298,서울 노원구 한글비석로22길 30-1,"돈까스,우동",37.6607409,127.0738372,0
109,싸움의고수 은행사거리점,3.8,5,2,https://place.map.kakao.com/1659385755,서울 노원구 한글비석로 264 중계그랜드프라자 113호,"족발,보쌈",37.6508596,127.0770963,0
110,롯데리아 상계점,3.0,1,2,https://place.map.kakao.com/14600358,서울 노원구 한글비석로 369,패스트푸드,37.6583651,127.0739732,3
111,용을타는 돼지네포장마차,2.0,1,3,https://place.map.kakao.com/15858824,서울 노원구 중계로18길 17,실내포장마차,37.6514801,127.0778563,0
112,뚜레쥬르 중계브라운점,2.5,4,0,https://place.map.kakao.com/7849743,"서울 노원구 동일로203가길 29 브라운스톤중계 1층 185,186호","제과,베이커리",37.6400147,127.0642892,4
113,써브웨이 중계은행사거리점,5.0,2,0,https://place.map.kakao.com/1374085143,서울 노원구 한글비석로 269 1층,샌드위치,37.6516789,127.0767715,3
114,파리바게뜨 상계본점,5.0,3,1,https://place.map.kakao.com/1571223188,서울 노원구 한글비석로15길 3 파리바게뜨 상계본점,"제과,베이커리",37.6598029,127.0732909,4
115,옛날통닭,4.0,4,2,https://place.map.kakao.com/1285397795,서울 노원구 동일로203가길 29 브라운스톤 1층,치킨,37.6393876,127.0642707,0
116,탐앤탐스 하계점,4.0,2,1,https://place.map.kakao.com/17083009,서울 노원구 섬밭로 258 1층,커피전문점,37.6389443,127.0647295,4
117,얌샘김밥 중계역점,4.5,6,4,https://place.map.kakao.com/1796497210,서울 노원구 동일로 1279 중계그린아파트 B상가 101호,분식,37.6415758,127.0635039,0
