Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename
오메가생선구이 본점,4.3,7,17,https://place.map.kakao.com/17271272,서울 노원구 화랑로 343,월계동 38-6,"해물,생선"
마시써머거바,4.0,3,12,https://place.map.kakao.com/914234380,0,월계동 46-3,토스트
황금오리,3.5,2,6,https://place.map.kakao.com/9630494,서울 노원구 석계로1길 22,월계동 54-1,오리
삼대냉면,3.9,7,16,https://place.map.kakao.com/16380812,서울 노원구 석계로9길 33 1층,월계동 435-11,냉면
한입삼겹살,3.0,5,1,https://place.map.kakao.com/299247092,서울 노원구 화랑로 337-4,월계동 36-5,삼겹살
애슐리퀸즈 이마트월계점,2.6,16,59,https://place.map.kakao.com/680801617,서울 노원구 마들로3길 15 이마트월계점 1층 애슐리퀸즈,월계동 333-1,패밀리레스토랑
왕코등갈비 석계점,3.0,4,8,https://place.map.kakao.com/23123025,서울 노원구 석계로 22,월계동 66-4,갈비
초안산갈비,5.0,3,6,https://place.map.kakao.com/1635721809,서울 노원구 덕릉로60길 263,월계동 799,갈비
미가양꼬치,4.7,6,5,https://place.map.kakao.com/13027304,서울 노원구 석계로 13-3 1층,월계동 63-7,양꼬치
맘스터치 석계역점,2.2,10,4,https://place.map.kakao.com/1367802236,서울 노원구 석계로1길 18 2층,월계동 56,패스트푸드
제주본가,3.0,5,5,https://place.map.kakao.com/9408821,서울 노원구 석계로1길 18,월계동 56,"육류,고기"
엉터리앙평해장국 석계역점,5.0,1,9,https://place.map.kakao.com/1512390559,서울 노원구 석계로1길 14,월계동 56-8,해장국
육수당 석계역점,3.6,7,18,https://place.map.kakao.com/1892516181,서울 노원구 화랑로 343 1층 102호,월계동 38-6,국밥
수해복마라탕 광운대점,4.4,16,11,https://place.map.kakao.com/961930767,서울 노원구 광운로 39 2층,월계동 402-7,중식
친친,3.8,12,2,https://place.map.kakao.com/27475357,서울 노원구 석계로18길 10-9 2층,월계동 379-2,중화요리
후아나 석계점,4.2,5,4,https://place.map.kakao.com/1671540851,서울 노원구 석계로1길 18 301호,월계동 56,디저트카페
호호커피집,4.3,7,11,https://place.map.kakao.com/16421234,"서울 노원구 화랑로 337-21 1층, 2층",월계동 62-7,커피전문점
우리집,4.0,4,3,https://place.map.kakao.com/16851034,서울 노원구 광운로22길 9,월계동 298-6,한식
보리보리 옥선이시골밥상,1.7,3,5,https://place.map.kakao.com/11814895,서울 노원구 월계로55길 64,월계동 320-4,한식
군자대한곱창 석계역점,5.0,2,25,https://place.map.kakao.com/125798933,서울 노원구 석계로 14-1 1층,월계동 64-12,"곱창,막창"
샐러드조이,4.8,6,47,https://place.map.kakao.com/87024728,서울 노원구 초안산로2라길 31 BS빌딩 2층,월계동 276-18,카페
여자만아구찜,3.5,2,5,https://place.map.kakao.com/534426827,서울 노원구 석계로18길 10-8,월계동 379-10,아구
와플팝,5.0,3,1,https://place.map.kakao.com/574585945,서울 노원구 초안산로2라길 17 1층,월계동 272-31,간식
태백마루,3.6,5,15,https://place.map.kakao.com/19176066,서울 노원구 화랑로 349 2층,월계동 26-13,닭요리
