Name,Score,Numberofscore,Review,Link,Addr,Typename
후아나 석계점,4.2,5,4,https://place.map.kakao.com/1671540851,서울 노원구 석계로1길 18 301호,디저트카페
친친,3.8,12,2,https://place.map.kakao.com/27475357,서울 노원구 석계로18길 10-9 2층,중화요리
샐러드조이,4.8,6,47,https://place.map.kakao.com/87024728,서울 노원구 초안산로2라길 31 BS빌딩 2층,카페
엉터리앙평해장국 석계역점,5.0,1,9,https://place.map.kakao.com/1512390559,서울 노원구 석계로1길 14,해장국
군자대한곱창 석계역점,5.0,2,25,https://place.map.kakao.com/125798933,서울 노원구 석계로 14-1 1층,"곱창,막창"
수해복마라탕 광운대점,4.4,16,11,https://place.map.kakao.com/961930767,서울 노원구 광운로 39 2층,중식
그남자의돼지갈비 4호점,3.7,3,10,https://place.map.kakao.com/2031372265,서울 노원구 월계로 336 2층,갈비
신연마라탕,4.3,8,6,https://place.map.kakao.com/364066914,서울 노원구 광운로 35,중식
여자만아구찜,3.5,2,5,https://place.map.kakao.com/534426827,서울 노원구 석계로18길 10-8,아구
아빵,4.4,7,10,https://place.map.kakao.com/27550729,서울 노원구 초안산로2라길 13,"제과,베이커리"
클라우드9,4.0,4,9,https://place.map.kakao.com/20744235,서울 노원구 화랑로 337-23,이탈리안
태백마루,3.6,5,15,https://place.map.kakao.com/19176066,서울 노원구 화랑로 349 2층,닭요리
와플팝,5.0,3,1,https://place.map.kakao.com/574585945,서울 노원구 초안산로2라길 17 1층,간식
롯데리아 석계점,1.8,9,0,https://place.map.kakao.com/7857648,서울 노원구 화랑로 325,패스트푸드
빽다방 광운대점,4.3,3,4,https://place.map.kakao.com/27094505,서울 노원구 광운로 43 로얄포토빌딩 1층,커피전문점
노란오빠생각,1.0,1,0,https://place.map.kakao.com/980550235,서울 노원구 화랑로 337,떡볶이
파리바게뜨 석계역점,4.5,6,80,https://place.map.kakao.com/21656626,"서울 노원구 마들로 31 상가동 107,108,148호","제과,베이커리"
하다식당 월계직영점,4.3,9,11,https://place.map.kakao.com/727616311,서울 노원구 초안산로2길 122 1층,"돈까스,우동"
카페베르데 광운대본점,4.0,1,1,https://place.map.kakao.com/16298833,서울 노원구 광운로 17-3 1층,카페
싱싱오징어바다 석계역점,2.0,3,14,https://place.map.kakao.com/19839143,서울 노원구 석계로 14,"해물,생선"
엘가커피 석계점,3.0,6,7,https://place.map.kakao.com/24693403,서울 노원구 석계로1길 22,카페
장어구이셀프타운,3.5,2,9,https://place.map.kakao.com/20740538,서울 노원구 화랑로45길 40,장어
화돌농장,4.3,7,0,https://place.map.kakao.com/26849111,서울 노원구 광운로 133,"육류,고기"
보리보리 옥선이시골밥상,1.7,3,5,https://place.map.kakao.com/11814895,서울 노원구 월계로55길 64,한식
소문난곱창,4.7,3,4,https://place.map.kakao.com/13287923,서울 노원구 석계로7길 12-8 1층,"곱창,막창"
용궁중화요리,2.0,7,9,https://place.map.kakao.com/8458383,서울 노원구 월계로 325,중화요리
도미노피자 월계점,4.3,4,1,https://place.map.kakao.com/26815517,서울 노원구 광운로 52,피자
꿈의김밥,4.0,6,1,https://place.map.kakao.com/866759727,서울 노원구 석계로3길 41 1층,분식
스타벅스 월계트레이더스점,5.0,2,7,https://place.map.kakao.com/780657144,서울 노원구 마들로3길 17,커피전문점
써브웨이 광운대역점,1.9,7,7,https://place.map.kakao.com/2024470096,서울 노원구 광운로 57,샌드위치
마포연탄불고기,4.4,9,5,https://place.map.kakao.com/21353407,서울 노원구 석계로18길 4,"불고기,두루치기"
BHC치킨 월계스타점,4.2,5,1,https://place.map.kakao.com/1219738630,서울 노원구 초안산로2라길 19 201호,치킨
메가커피 석계역점,1.7,7,1,https://place.map.kakao.com/931744501,서울 노원구 화랑로 337 1층 103호,커피전문점
피자굽는오빠 2호점,5.0,1,27,https://place.map.kakao.com/140659618,서울 노원구 초안산로5길 12,이탈리안
백채김치찌개 석계점,3.3,7,13,https://place.map.kakao.com/27441093,서울 노원구 석계로3길 17,"찌개,전골"
윤스쿡,4.8,18,14,https://place.map.kakao.com/2123663334,서울 노원구 광운로 29 2층,"돈까스,우동"
교촌치킨 석계역점,1.7,13,4,https://place.map.kakao.com/16051747,서울 노원구 석계로 31,치킨
이상봉 이참치,3.1,10,14,https://place.map.kakao.com/22320179,서울 노원구 석계로 21 2층,일식
디델리 광운대점,3.0,5,11,https://place.map.kakao.com/16081384,서울 노원구 광운로 31,분식
옥남집,5.0,2,3,https://place.map.kakao.com/27524740,서울 노원구 광운로 68,한정식
커피나무,3.0,12,0,https://place.map.kakao.com/1030306506,서울 노원구 화랑로 325,커피전문점
장수국수,1.0,1,17,https://place.map.kakao.com/24997619,서울 노원구 광운로 27,국수
배스킨라빈스 석계점,3.0,5,4,https://place.map.kakao.com/26794261,서울 노원구 석계로1길 10,아이스크림
향원,4.1,10,1,https://place.map.kakao.com/19032295,서울 노원구 석계로 27,중화요리
빈대주막 석계점,3.0,2,4,https://place.map.kakao.com/16053856,서울 노원구 석계로1길 10,"호프,요리주점"
청계천8가삼성곱창,4.8,4,4,https://place.map.kakao.com/374001076,서울 노원구 석계로3길 32,"곱창,막창"
어반,5.0,2,11,https://place.map.kakao.com/685806660,서울 노원구 석계로3길 11 2층,"호프,요리주점"
곤지암할매소머리국밥&순대국 본점,3.4,7,0,https://place.map.kakao.com/102346965,서울 노원구 월계로 338 상가 A동 101호,국밥
뚜레쥬르 카페광운대역점,4.5,2,2,https://place.map.kakao.com/814390841,서울 노원구 석계로 105,"제과,베이커리"
이자카야 콤마,3.7,3,2,https://place.map.kakao.com/220378937,서울 노원구 석계로 10 2층,일본식주점
치킨에꼬치다,3.7,3,8,https://place.map.kakao.com/1036609254,서울 노원구 석계로 12 1층,치킨
석계3층집,4.3,3,5,https://place.map.kakao.com/26853973,서울 노원구 석계로 21 3층,오리
이디야커피 월계인덕점,0.0,0,1,https://place.map.kakao.com/1586230348,서울 노원구 광운로22길 39,커피전문점
맘스터치 월계역점,4.2,5,4,https://place.map.kakao.com/1286697365,서울 노원구 초안산로2라길 26 1층 107호,패스트푸드
KFC 월계이마트점,2.0,7,0,https://place.map.kakao.com/8014030,서울 노원구 마들로3길 15 2층,패스트푸드
더원,3.6,5,11,https://place.map.kakao.com/152856273,서울 노원구 광운로 61,중식
노원골제주흑돼지 2호점,4.3,3,13,https://place.map.kakao.com/733033915,서울 노원구 석계로 19,"육류,고기"
미식성,4.0,4,1,https://place.map.kakao.com/9443559,서울 노원구 광운로 9,중화요리
미아리우동집 석계역점,3.0,4,4,https://place.map.kakao.com/55284543,서울 노원구 석계로3길 27 1층,"돈까스,우동"
리드브레드 석계역점,4.4,8,8,https://place.map.kakao.com/741643395,서울 노원구 화랑로 353 1층,"제과,베이커리"
노랑통닭 석계역점,3.0,8,8,https://place.map.kakao.com/27430275,서울 노원구 석계로 12-1,치킨
던킨도너츠 광운대역점,3.7,3,1,https://place.map.kakao.com/21332237,서울 노원구 석계로 98-2,도넛
동대문엽기떡볶이 월계점,2.1,10,3,https://place.map.kakao.com/1346518616,서울 노원구 광운로 39 1층,떡볶이
육회공작소 석계점,2.0,2,5,https://place.map.kakao.com/27264445,서울 노원구 석계로 16,"육류,고기"
햇살머믄꼬마김밥 석계역점,5.0,3,2,https://place.map.kakao.com/333894026,서울 노원구 화랑로45길 42,분식
여우곱창,5.0,1,11,https://place.map.kakao.com/13318900,서울 노원구 광운로 68,"곱창,막창"
와라와라 석계역점,3.3,4,7,https://place.map.kakao.com/13082421,서울 노원구 석계로1길 14 3층,"호프,요리주점"
이삭토스트 석계역점,5.0,2,2,https://place.map.kakao.com/1790780715,서울 노원구 석계로3길 21 1층,토스트
인정각,4.4,5,11,https://place.map.kakao.com/1816241497,서울 노원구 석계로3길 18 2층,중화요리
최대포소금구이,3.3,8,9,https://place.map.kakao.com/16442113,서울 노원구 석계로7길 14,"육류,고기"
은빛회포차,4.0,4,3,https://place.map.kakao.com/983033146,서울 노원구 석계로3길 8,회
옛날통닭 석계점,4.0,2,2,https://place.map.kakao.com/1596819279,서울 노원구 석계로3길 36 1층,치킨
보배반점 월계점,5.0,1,1,https://place.map.kakao.com/149027499,서울 노원구 초안산로5길 12,중화요리
배스킨라빈스 광운대역점,5.0,4,1,https://place.map.kakao.com/14855950,서울 노원구 광운로 65,아이스크림
김밥천국 광운대점,2.9,8,1,https://place.map.kakao.com/10198074,서울 노원구 광운로 33,분식
공차 광운대점,3.1,8,4,https://place.map.kakao.com/1483893178,서울 노원구 광운로 20 80주년 기념관 지하1층 내 복지매장,카페
신당동즉석떡볶이,4.0,1,2,https://place.map.kakao.com/21412773,서울 노원구 석계로9길 47,떡볶이
홍콩반점0410 광운대동문점,0.0,0,1,https://place.map.kakao.com/1479862933,서울 노원구 석계로13길 23 부일빌딩 1층,중화요리
설빙 서울광운대점,2.0,3,1,https://place.map.kakao.com/530741465,서울 노원구 광운로 25 2층,디저트카페
락궁,2.0,4,6,https://place.map.kakao.com/8314850,서울 노원구 마들로 31 그랑빌 아파트 주상가 2층,중화요리
본죽 석계역점,3.3,3,2,https://place.map.kakao.com/26310162,서울 노원구 석계로 11-1 1층,죽
e푸른선참치 석계본점,4.3,4,1,https://place.map.kakao.com/9167092,서울 노원구 석계로1길 14,참치회
춘천닭갈비,1.3,4,6,https://place.map.kakao.com/16501039,서울 노원구 석계로 11,닭요리
킹콩떡볶이 인덕대점,5.0,1,5,https://place.map.kakao.com/1755164268,서울 노원구 초안산로2길 124 1층,떡볶이
미스터피자 석계역점,0.0,0,0,https://place.map.kakao.com/44249129,서울 노원구 석계로1길 22 흥우빌딩 1층 105호,피자
싸다김밥,2.2,6,3,https://place.map.kakao.com/1385352415,서울 노원구 광운로 65,한식
신전떡볶이 광운대점,3.0,7,3,https://place.map.kakao.com/27232145,서울 노원구 광운로 52 1층,떡볶이
대명왕십리곱창,5.0,2,5,https://place.map.kakao.com/16502776,서울 노원구 석계로 18,"곱창,막창"
노랑통닭 월계점,4.0,4,5,https://place.map.kakao.com/1664834673,서울 노원구 초안산로2라길 35,치킨
꽃제비칼국수,5.0,2,3,https://place.map.kakao.com/16297377,서울 노원구 광운로12길 13,국수
오네스토테이블,2.5,6,7,https://place.map.kakao.com/27382316,서울 노원구 월계동 925,이탈리안
언니떡볶이 동생브리또,3.0,3,5,https://place.map.kakao.com/1224186927,서울 노원구 광운로10길 3,떡볶이
서향,3.0,5,1,https://place.map.kakao.com/9163543,서울 노원구 석계로 95,중화요리
양드림,5.0,3,7,https://place.map.kakao.com/2115946682,서울 노원구 광운로2가길 1,"육류,고기"
커피랑도서관 강북본점,0.0,0,3,https://place.map.kakao.com/623107528,서울 노원구 석계로 102 주원21빌딩 8층,북카페
이디야커피 석계역점,1.3,4,1,https://place.map.kakao.com/16879086,서울 노원구 석계로3길 3,커피전문점
스트릿츄러스 광운대점,4.4,5,1,https://place.map.kakao.com/2086560602,서울 노원구 광운로 21 동해문화예술회관 1층,카페
착한족발 월계점,0.0,0,3,https://place.map.kakao.com/1377040460,서울 노원구 광운로 60 1층,"족발,보쌈"
임자구포국수,5.0,2,5,https://place.map.kakao.com/22137056,서울 노원구 월계로 370 희성프라자 1층 122호,국수
현덕육회,4.7,6,3,https://place.map.kakao.com/1431936902,서울 노원구 화랑로47길 4,"육류,고기"
진미통닭,4.0,4,2,https://place.map.kakao.com/2091088647,서울 노원구 광운로 45,치킨
메가커피 광운대역점,3.3,3,0,https://place.map.kakao.com/1950122890,서울 노원구 석계로 103,커피전문점
피자헤븐 월계점,5.0,4,34,https://place.map.kakao.com/23585237,서울 노원구 광운로 33 2층,피자
파파존스 광운대점,3.0,2,1,https://place.map.kakao.com/1333275014,서울 노원구 광운로 15 금혁빌딩 101호,피자
60계 월계점,2.3,3,4,https://place.map.kakao.com/27607636,서울 노원구 마들로 31 한진한화그랑빌 주상가 지하1층,치킨
와플대학 광운대캠퍼스,4.0,6,9,https://place.map.kakao.com/22577995,서울 노원구 광운로 64 1층,"제과,베이커리"
이삭토스트 광운대점,5.0,2,0,https://place.map.kakao.com/20748760,서울 노원구 석계로13길 23,토스트
달렉스,5.0,2,6,https://place.map.kakao.com/1139833679,서울 노원구 초안산로2라길 19-20 1층,커피전문점
본죽 월계점,5.0,5,0,https://place.map.kakao.com/15183424,서울 노원구 월계로 370 희성프라자 1층 126호,죽
지지고 광운대점,4.0,3,0,https://place.map.kakao.com/313608874,서울 노원구 광운로 27,도시락
