Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename
유정한우소곱창,1.3,7,33,https://place.map.kakao.com/25808164,서울 노원구 노해로85길 10-2,상계동 323-9,"곱창,막창"
슈엔챠이 상계점,4.5,8,24,https://place.map.kakao.com/2102127599,서울 노원구 동일로 1335 2층,상계동 763-4,중화요리
시골애 노원점,4.2,14,43,https://place.map.kakao.com/13122817,서울 노원구 상계로 64 가동 1층 1호,상계동 617,"해물,생선"
버거킹 노원역점,3.4,9,22,https://place.map.kakao.com/1922012169,서울 노원구 노해로 456 동방빌딩 1층,상계동 734-5,패스트푸드
더메이즈 노원점,4.2,13,26,https://place.map.kakao.com/1161456883,서울 노원구 상계로5길 26 6층,상계동 357-8,테마카페
곳,4.4,5,40,https://place.map.kakao.com/1250481954,서울 노원구 노해로85길 10-55,상계동 330-29,"호프,요리주점"
상계동 원조닭갈비,4.2,11,24,https://place.map.kakao.com/1445990797,서울 노원구 한글비석로36길 65 1층,상계동 140-138,닭요리
경성쭈꾸미,4.7,11,74,https://place.map.kakao.com/1541371104,서울 노원구 덕릉로 789 1층,상계동 101-180,"해물,생선"
본가왕뼈감자탕 노원역점,3.7,7,46,https://place.map.kakao.com/1222953596,서울 노원구 상계로3길 28,상계동 358-31,감자탕
스시통 노원본점,2.3,16,80,https://place.map.kakao.com/26491619,서울 노원구 동일로 1417 삼양빌딩 2층,상계동 711-13,"초밥,롤"
투썸플레이스 노원문화의거리점,2.3,28,25,https://place.map.kakao.com/17757837,서울 노원구 상계로 69 2층,상계동 593-14,커피전문점
영양센타 노원점,3.4,7,9,https://place.map.kakao.com/10642991,서울 노원구 동일로217가길 31 1층,상계동 735-4,삼계탕
이자카야모리,2.0,9,27,https://place.map.kakao.com/2075548768,서울 노원구 노해로81길 12-15 2층,상계동 616-1,일본식주점
닭갈비제작소 노원점,4.0,6,24,https://place.map.kakao.com/1254595213,서울 노원구 상계로3길 29 2층,상계동 358-9,닭요리
스타벅스 노원KT점,3.6,15,17,https://place.map.kakao.com/18691127,서울 노원구 노해로 502,상계동 723,커피전문점
마들냉면,3.3,7,7,https://place.map.kakao.com/10363794,서울 노원구 한글비석로 474 보람상가2층 217호,상계동 639-1,냉면
청와정,1.9,14,20,https://place.map.kakao.com/863895545,서울 노원구 동일로 1611,상계동 1032-1,"육류,고기"
플로레스테이블,4.2,11,98,https://place.map.kakao.com/101891212,서울 노원구 상계로5길 12 3층,상계동 1305,디저트카페
잼재미골,3.7,13,21,https://place.map.kakao.com/903173867,서울 노원구 노해로79길 6-19,상계동 617,"초밥,롤"
써브웨이 노원점,1.9,34,30,https://place.map.kakao.com/26321870,서울 노원구 노해로 502,상계동 723,샌드위치
마뇨떡볶이 노원역점,4.3,9,24,https://place.map.kakao.com/1698656854,서울 노원구 상계로 55 위성프라자 2층 201호,상계동 693-3,떡볶이
송재만참치 수락산역점,4.7,7,32,https://place.map.kakao.com/16061317,서울 노원구 동일로242길 25 2층,상계동 1120-31,참치회
영스넥,3.6,11,27,https://place.map.kakao.com/17079123,서울 노원구 상계로 51 노원프라자빌딩 지하1층,상계동 693-1,분식
맥도날드 중계역점,2.4,15,14,https://place.map.kakao.com/8331701,서울 노원구 동일로 1341 장우빌딩 1층,상계동 763-2,패스트푸드
신미방,3.9,16,12,https://place.map.kakao.com/628049731,서울 노원구 상계로 64,상계동 617,중화요리
전주콩나물국밥,4.1,9,9,https://place.map.kakao.com/9386063,서울 노원구 노해로75길 14-26,상계동 708-3,국밥
라화쿵부 상계점,2.3,14,46,https://place.map.kakao.com/1944117785,서울 노원구 노해로 492 프린스빌딩 2층 203호,상계동 724-2,중화요리
르다,4.7,7,76,https://place.map.kakao.com/1764989514,서울 노원구 상계로9길 28,상계동 396-6,카페
다미참치,5.0,2,30,https://place.map.kakao.com/1871306854,서울 노원구 동일로218길 17 2층,상계동 726,참치회
쭈꾸미달인 직영2호점,4.4,34,58,https://place.map.kakao.com/18657479,서울 노원구 상계로5길 3,상계동 353-1,"해물,생선"
오케이크 노원점,5.0,4,9,https://place.map.kakao.com/1920877338,서울 노원구 상계로3길 16 동원빌딩 1층 103호,상계동 593-2,"제과,베이커리"
