Name,Score,Review,Link,Addr
장수국수,1.0,20,https://place.map.kakao.com/24997619,"
서울 노원구 광운로 27
(지번) 월계동 465-11
"
뚜레쥬르 카페광운대역점,4.5,2,https://place.map.kakao.com/814390841,"
서울 노원구 석계로 105
(지번) 월계동 383-42
"
어반,5.0,11,https://place.map.kakao.com/685806660,"
서울 노원구 석계로3길 11 2층
(지번) 월계동 55-13
"
석계3층집,4.3,5,https://place.map.kakao.com/26853973,"
서울 노원구 석계로 21 3층
(지번) 월계동 68-20
"
이자카야 콤마,5.0,2,https://place.map.kakao.com/220378937,"
서울 노원구 석계로 10 2층
(지번) 월계동 61-11
"
KFC 월계이마트점,2.0,0,https://place.map.kakao.com/8014030,"
서울 노원구 마들로3길 15 2층
(지번) 월계동 333-1
"
청계천8가삼성곱창,4.8,4,https://place.map.kakao.com/374001076,"
서울 노원구 석계로3길 32
(지번) 월계동 68-27
"
빈대주막 석계점,3.0,4,https://place.map.kakao.com/16053856,"
서울 노원구 석계로1길 10
(지번) 월계동 58-2
"
치킨에꼬치다,3.7,8,https://place.map.kakao.com/1036609254,"
서울 노원구 석계로 12 1층
(지번) 월계동 61-10
"
맘스터치 월계역점,4.2,4,https://place.map.kakao.com/1286697365,"
서울 노원구 초안산로2라길 26 1층 107호
(지번) 월계동 951
"
곤지암할매소머리국밥&순대국 본점,3.4,0,https://place.map.kakao.com/102346965,"
서울 노원구 월계로 338 상가 A동 101호
(지번) 월계동 942
"
미아리우동집 석계역점,3.0,4,https://place.map.kakao.com/55284543,"
서울 노원구 석계로3길 27 1층
(지번) 월계동 68-9
"
더원,3.6,10,https://place.map.kakao.com/152856273,"
서울 노원구 광운로 61
(지번) 월계동 383-21
"
미식성,4.0,1,https://place.map.kakao.com/9443559,"
서울 노원구 광운로 9
(지번) 월계동 469-16
"
이디야커피 월계인덕점,0.0,1,https://place.map.kakao.com/1586230348,"
서울 노원구 광운로22길 39
(지번) 월계동 290-1
"
던킨도너츠 광운대역점,3.7,1,https://place.map.kakao.com/21332237,"
서울 노원구 석계로 98-2
(지번) 월계동 85-5
"
노원골제주흑돼지 2호점,4.3,13,https://place.map.kakao.com/733033915,"
서울 노원구 석계로 19
(지번) 월계동 68-66
"
노랑통닭 석계역점,3.0,8,https://place.map.kakao.com/27430275,"
서울 노원구 석계로 12-1
(지번) 월계동 61-9
"
육회공작소 석계점,2.0,5,https://place.map.kakao.com/27264445,"
서울 노원구 석계로 16
(지번) 월계동 64-10
"
리드브레드 석계역점,4.4,8,https://place.map.kakao.com/741643395,"
서울 노원구 화랑로 353 1층
(지번) 월계동 26-18
"
햇살머믄꼬마김밥 석계역점,5.0,2,https://place.map.kakao.com/333894026,"
서울 노원구 화랑로45길 42
(지번) 월계동 21-23
"
동대문엽기떡볶이 월계점,2.1,3,https://place.map.kakao.com/1346518616,"
서울 노원구 광운로 39 1층
(지번) 월계동 402-7
"
공차 광운대점,3.1,4,https://place.map.kakao.com/1483893178,"
서울 노원구 광운로 20 80주년 기념관 지하1층 내 복지매장
(지번) 월계동 447-1
"
와라와라 석계역점,3.3,7,https://place.map.kakao.com/13082421,"
서울 노원구 석계로1길 14 3층
(지번) 월계동 56-8
"
보배반점 월계점,5.0,1,https://place.map.kakao.com/149027499,"
서울 노원구 초안산로5길 12
(지번) 월계동 776
"
여우곱창,5.0,11,https://place.map.kakao.com/13318900,"
서울 노원구 광운로 68
(지번) 월계동 379-43
"
배스킨라빈스 광운대역점,5.0,1,https://place.map.kakao.com/14855950,"
서울 노원구 광운로 65
(지번) 월계동 383-25
"
옛날통닭 석계점,4.0,2,https://place.map.kakao.com/1596819279,"
서울 노원구 석계로3길 36 1층
(지번) 월계동 486-6
"
설빙 서울광운대점,2.0,1,https://place.map.kakao.com/530741465,"
서울 노원구 광운로 25 2층
(지번) 월계동 465-21
"
신당동즉석떡볶이,4.0,2,https://place.map.kakao.com/21412773,"
서울 노원구 석계로9길 47
(지번) 월계동 482-1
"
인정각,4.3,11,https://place.map.kakao.com/1816241497,"
서울 노원구 석계로3길 18 2층
(지번) 월계동 55-2
"
최대포소금구이,3.3,9,https://place.map.kakao.com/16442113,"
서울 노원구 석계로7길 14
(지번) 월계동 68-28
"
김밥천국 광운대점,2.9,1,https://place.map.kakao.com/10198074,"
서울 노원구 광운로 33
(지번) 월계동 402-19
"
락궁,2.0,6,https://place.map.kakao.com/8314850,"
서울 노원구 마들로 31 그랑빌 아파트 주상가 2층
(지번) 월계3동 18
"
은빛회포차,4.0,3,https://place.map.kakao.com/983033146,"
서울 노원구 석계로3길 8
(지번) 월계동 63-10
"
이삭토스트 석계역점,5.0,2,https://place.map.kakao.com/1790780715,"
서울 노원구 석계로3길 21 1층
(지번) 월계동 55-7
"
본죽 석계역점,3.3,2,https://place.map.kakao.com/26310162,"
서울 노원구 석계로 11-1 1층
(지번) 월계동 63-9
"
싸다김밥,2.2,3,https://place.map.kakao.com/1385352415,"
서울 노원구 광운로 65
(지번) 월계동 383-25
"
언니떡볶이 동생브리또,3.0,5,https://place.map.kakao.com/1224186927,"
서울 노원구 광운로10길 3
(지번) 월계동 403-8
"
e푸른선참치 석계본점,4.3,1,https://place.map.kakao.com/9167092,"
서울 노원구 석계로1길 14
(지번) 월계동 56-7
"
신전떡볶이 광운대점,3.0,3,https://place.map.kakao.com/27232145,"
서울 노원구 광운로 52 1층
(지번) 월계동 409-16
"
서향,3.0,1,https://place.map.kakao.com/9163543,"
서울 노원구 석계로 95
(지번) 월계동 411-53
"
홍콩반점0410 광운대동문점,0.0,1,https://place.map.kakao.com/1479862933,"
서울 노원구 석계로13길 23 부일빌딩 1층
(지번) 월계동 429-6
"
꽃제비칼국수,5.0,3,https://place.map.kakao.com/16297377,"
서울 노원구 광운로12길 13
(지번) 월계동 407-16
"
오네스토테이블,2.5,6,https://place.map.kakao.com/27382316,"
서울 노원구 월계동 925

"
미스터피자 석계역점,0.0,0,https://place.map.kakao.com/44249129,"
서울 노원구 석계로1길 22 흥우빌딩 1층 105호
(지번) 월계동 54-1
"
킹콩떡볶이 인덕대점,5.0,6,https://place.map.kakao.com/1755164268,"
서울 노원구 초안산로2길 124 1층
(지번) 월계동 271-17
"
대명왕십리곱창,5.0,5,https://place.map.kakao.com/16502776,"
서울 노원구 석계로 18
(지번) 월계동 64-9
"
춘천닭갈비,1.3,6,https://place.map.kakao.com/16501039,"
서울 노원구 석계로 11
(지번) 월계동 62-3
"
커피랑도서관 강북본점,0.0,3,https://place.map.kakao.com/623107528,"
서울 노원구 석계로 102 주원21빌딩 8층
(지번) 월계동 413-1
"
60계 월계점,2.3,4,https://place.map.kakao.com/27607636,"
서울 노원구 마들로 31 한진한화그랑빌 주상가 지하1층
(지번) 월계동 18-1
"
이디야커피 석계역점,1.3,1,https://place.map.kakao.com/16879086,"
서울 노원구 석계로3길 3
(지번) 월계동 47-3
"
진미통닭,4.0,2,https://place.map.kakao.com/2091088647,"
서울 노원구 광운로 45
(지번) 월계동 393-1
"
노랑통닭 월계점,4.0,5,https://place.map.kakao.com/1664834673,"
서울 노원구 초안산로2라길 35
(지번) 월계동 276-19
"
임자구포국수,5.0,5,https://place.map.kakao.com/22137056,"
서울 노원구 월계로 370 희성프라자 1층 122호
(지번) 월계동 321-2
"
지지고 광운대점,4.0,0,https://place.map.kakao.com/313608874,"
서울 노원구 광운로 27
(지번) 월계동 465-11
"
와플대학 광운대캠퍼스,4.0,9,https://place.map.kakao.com/22577995,"
서울 노원구 광운로 64 1층
(지번) 월계동 383-4
"
양드림,5.0,7,https://place.map.kakao.com/2115946682,"
서울 노원구 광운로2가길 1
(지번) 월계동 476-24
"
파파존스 광운대점,3.0,1,https://place.map.kakao.com/1333275014,"
서울 노원구 광운로 15 금혁빌딩 101호
(지번) 월계동 469-3
"
피자헤븐 월계점,5.0,34,https://place.map.kakao.com/23585237,"
서울 노원구 광운로 33 2층
(지번) 월계동 402-19
"
현덕육회,4.7,3,https://place.map.kakao.com/1431936902,"
서울 노원구 화랑로47길 4
(지번) 월계동 26-19
"
착한족발 월계점,0.0,3,https://place.map.kakao.com/1377040460,"
서울 노원구 광운로 60 1층
(지번) 월계동 383-27
"
파리바게뜨 월계점,2.0,0,https://place.map.kakao.com/8115111,"
서울 노원구 석계로7길 18
(지번) 월계동 68-6
"
메가커피 광운대역점,3.3,0,https://place.map.kakao.com/1950122890,"
서울 노원구 석계로 103
(지번) 월계동 410-7
"
스트릿츄러스 광운대점,4.4,1,https://place.map.kakao.com/2086560602,"
서울 노원구 광운로 21 동해문화예술회관 1층
(지번) 월계동 466
"
본죽 월계점,5.0,0,https://place.map.kakao.com/15183424,"
서울 노원구 월계로 370 희성프라자 1층 126호
(지번) 월계동 321-2
"
날보러와요,1.0,2,https://place.map.kakao.com/27049063,"
서울 노원구 초안산로2라길 37
(지번) 월계동 276-20
"
